,designer,collections,first_season,consistency,prevalence,class
0,comme-des-garcons,65,1991.0,0.9848484848484849,0.9694638694638695,10
1,versace,61,1991.0,0.9242424242424242,0.9078489816194734,8
2,alexander-mcqueen,57,1995.0,0.9827586206896551,0.9652147610405324,10
3,prada,57,1992.0,0.890625,0.8730811403508771,8
4,miu-miu,55,1995.1,0.9649122807017544,0.9467304625199362,9
5,yohji-yamamoto,52,1995.1,0.9122807017543859,0.8930499325236166,8
6,gucci,51,1995.1,0.8947368421052632,0.8751289989680082,8
7,michael-kors-collection,51,1991.1,0.7846153846153846,0.7650075414781297,8
8,dolce-gabbana,51,1992.0,0.796875,0.7772671568627451,8
9,fendi,50,1999.0,1.0,0.98,10
10,anna-sui,50,1993.0,0.8064516129032258,0.7864516129032257,8
11,chanel,50,1991.1,0.7692307692307693,0.7492307692307693,7
12,ann-demeulemeester,49,1997.0,0.9074074074074074,0.8869992441421013,8
13,balenciaga,49,1998.0,0.9423076923076923,0.9218995290423861,9
14,moschino,49,1991.0,0.7424242424242424,0.7220160791589363,7
15,louis-vuitton,49,1998.1,0.9607843137254902,0.9403761504601841,9
16,marni,48,1999.0,0.96,0.9391666666666666,9
17,alberta-ferretti,48,2000.0,1.0,0.9791666666666666,10
18,chloe,48,2000.0,1.0,0.9791666666666666,10
19,christian-dior,48,2000.0,1.0,0.9791666666666666,10
20,emporio-armani,48,2000.0,1.0,0.9791666666666666,10
21,valentino,48,2000.0,1.0,0.9791666666666666,10
22,giorgio-armani,48,2000.0,1.0,0.9791666666666666,10
23,saint-laurent,48,2000.0,1.0,0.9791666666666666,10
24,missoni,48,2000.0,1.0,0.9791666666666666,10
25,dries-van-noten,47,2000.0,0.9791666666666666,0.9578900709219857,10
26,carolina-herrera,47,2000.0,0.9791666666666666,0.9578900709219857,10
27,jil-sander,47,2000.0,0.9791666666666666,0.9578900709219857,10
28,maison-martin-margiela,47,1993.0,0.7580645161290323,0.7367879203843514,7
29,burberry-prorsum,47,2000.0,0.9791666666666666,0.9578900709219857,10
30,marc-jacobs,47,2000.0,0.9791666666666666,0.9578900709219857,10
31,ralph-lauren,47,2000.0,0.9791666666666666,0.9578900709219857,10
32,lanvin,46,2000.0,0.9583333333333334,0.9365942028985508,9
33,givenchy,46,1999.1,0.9387755102040817,0.9170363797692991,9
34,emilio-pucci,46,2001.0,1.0,0.9782608695652174,10
