,season,year,seasonyear,designer,text
1,spring,2000,s2000,alberta-ferretti,"Not one to lose touch with her clients' need for romantic, feminine clothing with an urban edge, Ferretti delivered the goods this season. Transparency was the key to her array of dreamy, girly dresses with delicate beading and ruffles in light shades of brick, green, yellow and pale blue. There were also shiny slim pants, delicate twinsets, and peasant-inspired tops and long skirts. It was a subtle, contemporary and practical collection that will keep girls looking fresh for the year 2000.</p></div>"
2,spring,2000,s2000,alessandro-dell-acqua,"She's back in style and readily available. The early '80s disco dolly came out to party in full force at Alessandro Dell'Acqua's show. Sex was clearly the driving force behind this cavalcade of one-shouldered purple, red and black tulle shirts, cowl-necked satin tops and paillette-encrusted slacks that took over the runway. Accessories were no less bold and added to the shimmering extravaganza—decorated boots, dangling rhinestone chains worn as belts or necklaces under layers of transparent fabric and bags with dripping beads. It was a strobe-light affair.</p></div>"
3,spring,2000,s2000,alexander-mcqueen,"With cheeky insouciance <strong><a href=""https://www.vogue.com/tag/designer/alexander-mcqueen/"">Alexander McQueen</a></strong> dropped trou at the end of his Spring 2000 show to reveal his stars and stripes boxers. Eye was shown in New York, on a pier on the West side, and, once again, the models sloshed through water. They wore clothes that drew from active sportswear, bondage, and the Middle East; <a href=""https://www.vogue.com/tag/model/Gisele-Bundchen"">Gisele</a>, for one, wore a tasseled and embroidered head covering with a metal-pailleted bodysuit. There was no ignoring the collection’s latent aggression when spikes rose through the water. Over those frightening points soared acrobats in burka-like shrouds, some striped red, others colored black, like good and bad angels.</p></div>"
4,spring,2000,s2000,ann-demeulemeester,"The relationship between word and image was the theme for Ann Demeulemeester's predominantly black and white collection. Bands of text with messages like ""Curious wishes feathered the air,"" and ""Morning found the field bright"" were inscribed on tank tops and jackets. Overlays of transparent tulle, sometimes decorated with subtle beading, covered Demeulemeester's well-known black pantsuits. There were also lighter pieces, like ecru papery jackets, distressed denim pants, and simple knit sweaters.</p></div>"
5,spring,2000,s2000,anna-molinari,"""Lou Lou goes on vacanza with a trunk of white and gold,"" was Rosella Tarabini's inspiration for Anna Molinari. Lou Lou also packed an assortment of prints, Pierrot dresses, floral appliqués, and every paillette she could find. Gold leather ensembles were shown alongside frilly polka-dotted dresses, ""I love you"" printed chiffon numbers, and provenç;al florals on devore velvet. Tarabini felt her collection was ""pure St. Tropez,"" but many of her pieces would certainly not be unwelcome at the colorful and extravagant festivities of Rio de Janeiro.</p></div>"
6,spring,2000,s2000,anna-sui,"""An American prairie girl goes to Goa"" would be a good way to describe Anna Sui's unapologetically rich summer collection. Her looks were at times sexy, often innocent, but always bedecked with embroidery, ruffles, beading and a rampage of colorful patterns. Western-inspired pieces like dark denim capri jeans and jackets were bejeweled and studded '70s-inspired Empire dresses were stitched from rambunctious paisley prints; and floral-print ruched blouses were in abundance. Clearly, restraint was not even a minor consideration for Sui, who went for all-out luxe.</p></div>"
7,spring,2000,s2000,antonio-berardi,"Antonio Berardi's runway positively oozed with raw energy as he presented one of the most unapolegetically sexy collections so far. Necklines plunged, skimpy leather dresses clung to the body for dear life and flowing, floor-length evening gowns in shocking pink, orange and yellow were simultaneously old-world and unflinchingly modern. Berardi once again proved his skill at combining deft tailoring (as in his white, sharp tuxedo suits) with extravagant sensuality (silky cocktail dresses never looked better). As if that weren't enough, this time around he threw in Murano glass, vertigo-inducing ankle-cuff stilettos, Lalique jewelry and edgy headpieces by Stephen Jones.</p></div>"
8,spring,2000,s2000,as-four,"In February of 2000, As Four (Adi Gil, Angela Donhauser, Gabi Asfour, and Kai Kühne), had already defined their aesthetic as organic and curvilinear. They had put this into practice in “Human Plant,” a collection that they created and photographed to publish in <em>Zink Magazine</em>, but they hadn’t gone public with their work—aside from sometimes wearing the pieces they made. When <em>Paper</em>’s Kim Hastreiter offered them a chance to show at the Bryant Park tents as part of a sort of alt-fashion/art event she was curating, the team jumped at the chance. “We wanted to really show how we worked,” Gabi Asfour later told <em>Vogue</em>.</p><p>The result was “Puppen Couture” a magical installation of miniature As Four garments shown en masse on wind-up hula dancing dolls the quartet found on Canal Street. As they twirled in their haphazard way to Wagner, the dolls placed As Four firmly at the center of downtown New York’s fashion/art nexus.</p></div>"
9,spring,2000,s2000,badgley-mischka,"""Our collection is girly and optimistic, younger than usual, and definitely glamorous,"" explained Mark Badgley. The presentation featured nearly all the colors of the rainbow in cool sorbet shades, like light rose, lime green, and citron yellow tempered with white. Reserving their trademark glittering gowns for last, Badgley Mischka devoted the first part of the show to embroidered, shimmery separates that included wearable georgette tops, raspberry sequin skirts, and fuchsia sprinkle-beaded jackets.</p></div>"
10,spring,2000,s2000,balenciaga,"Nicholas Ghesquière continued his revival of the silhouettes Balenciaga pioneered in the '50s, and brought them up to speed (which, in this season, means going back to the '80s). Loose sack-dresses, sweaters and coats with dolman sleeves, as well as pleated pants tapered at the bottom, predominated; but there were also preppy, slim trousers with matching long-sleeved shirts and blazers. The palette was restrained for the most part: Plum, beige, and navy were the main colors.</p></div>"
11,spring,2000,s2000,balmain,"It was quite a dramatic presentation at Balmain, featuring everything from feather paste-on brassieres to rough-cut cavegirl-like skirts and microskirts, and Jackson Pollock-inspired prints. Of course, there were also plenty of more sedate pieces—pretty twinsets in pastel shades, a broad range of soft, flowing chiffon dresses and candy-colored short suits with exposed seams, perhaps influenced by Gilles Dufour's years at Chanel. Evening had a distinctly '80s flavor: Acid orange, fuchsia and green minidresses shared the runway with feathered tops, handkerchief slips with trains that served as scarves and paillette gowns. And who better to show them all off than Claudia Schiffer?</p></div>"
