word,label
alizarin,COLOR
amaranth,COLOR
amber,COLOR
amethyst,COLOR
apricot,COLOR
aqua,COLOR
aquamarine,COLOR
asparagus,COLOR
auburn,COLOR
azure,COLOR
beige,COLOR
bistre,COLOR
black,COLOR
blue,COLOR
blue-green,COLOR
blue-violet,COLOR
bondi-blue,COLOR
brass,COLOR
bronze,COLOR
brown,COLOR
buff,COLOR
burgundy,COLOR
camouflage-green,COLOR
caput-mortuum,COLOR
cardinal,COLOR
carmine,COLOR
carrot-orange,COLOR
celadon,COLOR
cerise,COLOR
cerulean,COLOR
champagne,COLOR
charcoal,COLOR
chartreuse,COLOR
cherry-blossom-pink,COLOR
chestnut,COLOR
chocolate,COLOR
cinnabar,COLOR
cinnamon,COLOR
cobalt,COLOR
copper,COLOR
coral,COLOR
corn,COLOR
cornflower,COLOR
cream,COLOR
crimson,COLOR
cyan,COLOR
dandelion,COLOR
emerald,COLOR
eggplant,COLOR
falu-red,COLOR
fern-green,COLOR
firebrick,COLOR
flax,COLOR
forest-green,COLOR
french-rose,COLOR
fuchsia,COLOR
gamboge,COLOR
gold,COLOR
goldenrod,COLOR
green,COLOR
grey,COLOR
han-purple,COLOR
harlequin,COLOR
heliotrope,COLOR
hollywood-cerise,COLOR
indigo,COLOR
ivory,COLOR
jade,COLOR
kelly-green,COLOR
khaki,COLOR
lavender,COLOR
green,COLOR
lemon,COLOR
lilac,COLOR
lime,COLOR
lime-green,COLOR
magenta,COLOR
maroon,COLOR
mauve,COLOR
midnight-blue,COLOR
mint-green,COLOR
misty-rose,COLOR
moss-green,COLOR
mustard,COLOR
myrtle,COLOR
navajo-white,COLOR
navy-blue,COLOR
ochre,COLOR
office-green,COLOR
olive,COLOR
olivine,COLOR
orange,COLOR
orchid,COLOR
papaya-whip,COLOR
peach,COLOR
pear,COLOR
periwinkle,COLOR
persimmon,COLOR
pine-green,COLOR
pink,COLOR
platinum,COLOR
plum,COLOR
powder-blue,COLOR
puce,COLOR
prussian-blue,COLOR
psychedelic-purple,COLOR
pumpkin,COLOR
purple,COLOR
quartz-grey,COLOR
raw-umber,COLOR
razzmatazz,COLOR
red,COLOR
robin-egg-blue,COLOR
rose,COLOR
