,word,label
0,alizarin,COLOR
1,amaranth,COLOR
2,amber,COLOR
3,amethyst,COLOR
4,apricot,COLOR
5,aqua,COLOR
6,aquamarine,COLOR
7,asparagus,COLOR
8,auburn,COLOR
9,azure,COLOR
10,beige,COLOR
11,bistre,COLOR
12,black,COLOR
13,blue,COLOR
14,blue-green,COLOR
15,blue-violet,COLOR
16,bondi-blue,COLOR
17,brass,COLOR
18,bronze,COLOR
19,brown,COLOR
20,buff,COLOR
21,burgundy,COLOR
22,camouflage-green,COLOR
23,caput-mortuum,COLOR
24,cardinal,COLOR
25,carmine,COLOR
26,carrot-orange,COLOR
27,celadon,COLOR
28,cerise,COLOR
29,cerulean,COLOR
30,champagne,COLOR
31,charcoal,COLOR
32,chartreuse,COLOR
33,cherry-blossom-pink,COLOR
34,chestnut,COLOR
35,chocolate,COLOR
36,cinnabar,COLOR
37,cinnamon,COLOR
38,cobalt,COLOR
39,copper,COLOR
40,coral,COLOR
41,corn,COLOR
42,cornflower,COLOR
43,cream,COLOR
44,crimson,COLOR
45,cyan,COLOR
46,dandelion,COLOR
47,emerald,COLOR
48,eggplant,COLOR
49,falu-red,COLOR
50,fern-green,COLOR
51,firebrick,COLOR
52,flax,COLOR
53,forest-green,COLOR
54,french-rose,COLOR
55,fuchsia,COLOR
56,gamboge,COLOR
57,gold,COLOR
58,goldenrod,COLOR
59,green,COLOR
60,grey,COLOR
61,han-purple,COLOR
62,harlequin,COLOR
63,heliotrope,COLOR
64,hollywood-cerise,COLOR
65,indigo,COLOR
66,ivory,COLOR
67,jade,COLOR
68,kelly-green,COLOR
69,khaki,COLOR
70,lavender,COLOR
72,lemon,COLOR
73,lilac,COLOR
74,lime,COLOR
75,lime-green,COLOR
76,magenta,COLOR
77,maroon,COLOR
78,mauve,COLOR
79,midnight-blue,COLOR
80,mint-green,COLOR
81,misty-rose,COLOR
82,moss-green,COLOR
83,mustard,COLOR
84,myrtle,COLOR
85,navajo-white,COLOR
86,navy-blue,COLOR
87,ochre,COLOR
88,office-green,COLOR
89,olive,COLOR
90,olivine,COLOR
91,orange,COLOR
92,orchid,COLOR
93,papaya-whip,COLOR
94,peach,COLOR
95,pear,COLOR
96,periwinkle,COLOR
97,persimmon,COLOR
98,pine-green,COLOR
99,pink,COLOR
100,platinum,COLOR
101,plum,COLOR
102,powder-blue,COLOR
103,puce,COLOR
104,prussian-blue,COLOR
105,psychedelic-purple,COLOR
106,pumpkin,COLOR
107,purple,COLOR
108,quartz-grey,COLOR
109,raw-umber,COLOR
110,razzmatazz,COLOR
111,red,COLOR
112,robin-egg-blue,COLOR
113,rose,COLOR
114,royal-blue,COLOR
115,royal-purple,COLOR
116,ruby,COLOR
